Label,ImageNumber,ObjectNumber,Metadata_Well,Cells_Number_Object_Number,Cells_Children_Cytoplasm_Count,Cells_Location_Center_X,Cells_Location_Center_Y,Cells_Location_Center_Z,Cells_Parent_Nuclei,Cytoplasm_Number_Object_Number,Cytoplasm_Intensity_IntegratedIntensityEdge_GFP,Cytoplasm_Intensity_IntegratedIntensity_GFP,Cytoplasm_Intensity_LowerQuartileIntensity_GFP,Cytoplasm_Intensity_MADIntensity_GFP,Cytoplasm_Intensity_MassDisplacement_GFP,Cytoplasm_Intensity_MaxIntensityEdge_GFP,Cytoplasm_Intensity_MaxIntensity_GFP,Cytoplasm_Intensity_MeanIntensityEdge_GFP,Cytoplasm_Intensity_MeanIntensity_GFP,Cytoplasm_Intensity_MedianIntensity_GFP,Cytoplasm_Intensity_MinIntensityEdge_GFP,Cytoplasm_Intensity_MinIntensity_GFP,Cytoplasm_Intensity_StdIntensityEdge_GFP,Cytoplasm_Intensity_StdIntensity_GFP,Cytoplasm_Intensity_UpperQuartileIntensity_GFP,Cytoplasm_Location_CenterMassIntensity_X_GFP,Cytoplasm_Location_CenterMassIntensity_Y_GFP,Cytoplasm_Location_CenterMassIntensity_Z_GFP,Cytoplasm_Location_Center_X,Cytoplasm_Location_Center_Y,Cytoplasm_Location_MaxIntensity_X_GFP,Cytoplasm_Location_MaxIntensity_Y_GFP,Cytoplasm_Location_MaxIntensity_Z_GFP,Cytoplasm_Math_IntensityRatio,Cytoplasm_Parent_Cells,Cytoplasm_Parent_Nuclei,Nuclei_Number_Object_Number,Nuclei_Children_Cells_Count,Nuclei_Children_Cytoplasm_Count,Nuclei_Correlation_Correlation_GFP_DNA,Nuclei_Correlation_Costes_DNA_GFP,Nuclei_Correlation_Costes_GFP_DNA,Nuclei_Correlation_K_DNA_GFP,Nuclei_Correlation_K_GFP_DNA,Nuclei_Correlation_Manders_DNA_GFP,Nuclei_Correlation_Manders_GFP_DNA,Nuclei_Correlation_Overlap_GFP_DNA,Nuclei_Correlation_RWC_DNA_GFP,Nuclei_Correlation_RWC_GFP_DNA,Nuclei_Intensity_IntegratedIntensityEdge_GFP,Nuclei_Intensity_IntegratedIntensity_GFP,Nuclei_Intensity_LowerQuartileIntensity_GFP,Nuclei_Intensity_MADIntensity_GFP,Nuclei_Intensity_MassDisplacement_GFP,Nuclei_Intensity_MaxIntensityEdge_GFP,Nuclei_Intensity_MaxIntensity_GFP,Nuclei_Intensity_MeanIntensityEdge_GFP,Nuclei_Intensity_MeanIntensity_GFP,Nuclei_Intensity_MedianIntensity_GFP,Nuclei_Intensity_MinIntensityEdge_GFP,Nuclei_Intensity_MinIntensity_GFP,Nuclei_Intensity_StdIntensityEdge_GFP,Nuclei_Intensity_StdIntensity_GFP,Nuclei_Intensity_UpperQuartileIntensity_GFP,Nuclei_Location_CenterMassIntensity_X_GFP,Nuclei_Location_CenterMassIntensity_Y_GFP,Nuclei_Location_CenterMassIntensity_Z_GFP,Nuclei_Location_Center_X,Nuclei_Location_Center_Y,Nuclei_Location_Center_Z,Nuclei_Location_MaxIntensity_X_GFP,Nuclei_Location_MaxIntensity_Y_GFP,Nuclei_Location_MaxIntensity_Z_GFP,Nuclei_Math_IntensityRatio
-1,1,1,A01,1,1,362.538745387454,14.3671586715867,0,1,1,15.0117651056498,55.9215699285269,0.054901961237192,0.050980392843485,3.54285289875533,0.270588248968124,0.270588248968124,0.11637027213682,0.11822742056771,0.105882354080677,0.019607843831182,0.019607843831182,0.074076006701575,0.068850561021156,0.172549024224281,365.083800853922,13.624754586637,0,361.801268498943,14.9577167019027,373,10,0,1.24825823285003,1,1,1,1,1,-0.685001284670092,0.910065514530846,0.989712415210472,0.570204435472249,1.24990846770219,1,1,0.844217597671425,0.89192496497705,0.896319736089848,6.54509821534157,17.2666670754552,0.10196078568697,0.033333338797093,0.708274393336173,0.270588248968124,0.270588248968124,0.187002806152616,0.147578351072267,0.131372556090355,0.098039217293263,0.082352943718433,0.052803195753659,0.054706729461952,0.184313729405403,368.222802630252,9.98137632766997,0,367.529914529915,10.1282051282051,0,373,10,0,1.24825823285003
-1,1,2,A01,2,1,482.773462783172,10.9692556634304,0,2,2,14.9921573102474,79.9372567199171,0.141176477074623,0.027450978755951,1.34856324176218,0.235294118523598,0.250980406999588,0.142782450573785,0.165844930954185,0.168627455830574,0.039215687662363,0.039215687662363,0.043161678182944,0.046001927284364,0.200000002980232,480.877551021684,12.2760007588461,0,481.811203319502,11.3029045643154,477,16,0,0.689077789314138,2,2,2,1,1,-0.627930690529717,0.667624597915641,0.89476861168748,0.411743142247131,1.7992244503378,1,1,0.86070803922698,0.864172545686537,0.884043808409076,6.8549021333456,22.6274515613914,0.086274512112141,0.019607841968536,0.178989003993559,0.243137255311012,0.243137255311012,0.155793230303309,0.114280058390865,0.10196078568697,0.094117648899555,0.070588238537312,0.038271737247296,0.037967909840466,0.131372556090355,486.237781631887,9.89913345154863,0,486.080808080808,9.81313131313131,0,492,5,0,0.689077789314138
-1,1,3,A01,3,1,143.534416826004,13.4397705544933,0,3,3,11.2549022305757,37.8470598952845,0.023529412224889,0.011764707043767,4.18876450407821,0.26274511218071,0.26274511218071,0.061502197981288,0.047968390234835,0.031372550874949,0.015686275437474,0.011764706112444,0.057799304022971,0.043917219264295,0.050980392843485,137.245466814284,12.7470728634217,0,141.188846641318,14.1596958174905,118,1,0,0.64652949255437,3,3,3,1,1,-0.614978807902715,0,0,0.053307745614259,9.4369472349168,1,0.92717391309866,0.70926890709669,0.542430765453225,0.657853792849682,2.55686279572546,10.823529670015,0.019607843831182,0.003921568393707,2.75780161037536,0.062745101749897,0.066666670143604,0.037600923466551,0.031012978997178,0.023529412224889,0.015686275437474,0.015686275437474,0.013754053414689,0.01394180116757,0.039215687662363,153.559782572471,12.628623178961,0,151.085959885387,11.4097421203438,0,162,18,0,0.64652949255437
-1,1,4,A01,4,1,435.879640044994,18.0708661417323,0,4,4,6.27058841474354,30.6901970263571,0.019607843831182,0.007843136787415,5.171757773785,0.152941182255745,0.152941182255745,0.038707335893479,0.042272998658894,0.027450980618596,0.015686275437474,0.015686275437474,0.030182397389743,0.029221459284703,0.0588235296309,431.263608476464,16.6078456527861,0,435.710743801653,19.2479338842975,419,11,0,0.478588165247887,4,4,4,1,1,-0.62046916622464,0,0,0.070392050164506,11.2336836453993,1,1,0.889248009668358,0.772897660001675,0.810580192423211,1.47058827243745,4.83529429137707,0.015686275437474,0.003921568393707,0.05491080572114,0.039215687662363,0.039215687662363,0.025354970214439,0.020231356867687,0.019607843831182,0.015686275437474,0.011764706112444,0.005108717208839,0.00504760672648,0.023529412224889,436.68450930787,12.9343065684925,0,436.652719665272,12.979079497908,0,430,3,0,0.478588165247887
-1,1,5,A01,5,1,605.116812227074,14.4050218340611,0,5,5,5.72549039311707,25.6352949626744,0.023529412224889,0.00784313865006,0.567467896507532,0.094117648899555,0.094117648899555,0.031985979849816,0.033554050998265,0.031372550874949,0.019607843831182,0.015686275437474,0.016202536239884,0.011936753382942,0.039215687662363,605.443628585958,14.2311457959566,0,605.30497382199,14.7814136125654,583,22,0,0.774019213981676,5,5,5,1,1,-0.550939252543434,0,0,0.110420355784386,7.53442140596086,1,1,0.912114845990182,0.829258289635428,0.849959338675013,1.59607847593725,5.71372563950717,0.019607843831182,0.003921568393707,0.664418031565839,0.050980392843485,0.050980392843485,0.033251634915359,0.025971480179578,0.023529412224889,0.019607843831182,0.015686275437474,0.009504903772729,0.007316004225653,0.027450980618596,604.769389159924,12.7419354828509,0,604.168181818182,12.4590909090909,0,604,19,0,0.774019213981676
-1,1,6,A01,6,1,397.539071347678,20.9796149490374,0,6,6,7.66666690073907,25.9098047148436,0.027450980618596,0.003921570256352,3.37905156237209,0.156862750649452,0.156862750649452,0.049145300645763,0.038271498840242,0.031372550874949,0.015686275437474,0.015686275437474,0.037018434940789,0.025046321986308,0.035294119268656,399.249432481695,19.8805811690366,0,397.104874446086,22.4918759231905,416,10,0,0.607483405512936,6,6,6,1,1,-0.703883296837672,0,0,0.06541105395514,11.1696529576652,1,1,0.85476240691436,0.713440423652378,0.7730409027093,1.65098043903708,6.50980412587523,0.019607843831182,0.003921568393707,0.420005664268318,0.054901961237192,0.054901961237192,0.031150574321455,0.023249300449555,0.019607843831182,0.015686275437474,0.015686275437474,0.007858479256652,0.00647174020553,0.027450980618596,399.304819285712,15.8204819131431,0,398.928571428571,16.0071428571429,0,402,8,0,0.607483405512936
-1,1,7,A01,7,1,194.958794587946,23.6094710947109,0,7,7,27.078432129696,102.949022712186,0.054901961237192,0.011764708906412,2.89988950518157,0.258823543787003,0.258823543787003,0.101798617028932,0.078050813276866,0.062745101749897,0.019607843831182,0.019607843831182,0.059438792429173,0.043690039222533,0.082352943718433,199.364886462364,26.1166006454251,0,196.96739954511,24.4852160727824,217,9,0,0.864567988025984,7,7,7,1,1,-0.512791413761431,0.013907228482353,0.485380115399694,0.086106128285143,8.11060090234822,1,0.653075046649705,0.835686808419993,0.335481983073452,0.346252182527281,6.20784336701036,28.9490206427872,0.0588235296309,0.007843136787415,0.209928428475212,0.094117648899555,0.098039217293263,0.068218058978136,0.067480234598572,0.066666670143604,0.047058824449778,0.047058824449778,0.009603715788521,0.010484681444658,0.074509806931019,186.699810377995,19.5950961676764,0,186.81351981352,19.7715617715618,0,174,16,0,0.864567988025984
-1,1,8,A01,8,1,567.601597160603,21.0443655723159,0,8,8,12.1294120866805,83.2549039106816,0.062745101749897,0.015686273574829,0.193318575917712,0.14509804546833,0.14509804546833,0.073511588404125,0.081943803061695,0.086274512112141,0.019607843831182,0.019607843831182,0.030853262617762,0.022672678166045,0.098039217293263,567.793923701943,21.0951012844052,0,567.983267716535,21.0561023622047,581,26,0,0.745675818305052,8,8,8,1,1,-0.446994258468123,0.076038411302088,0.914062498956355,0.281240963938718,3.03554714109306,1,1,0.923969806888966,0.882386250644785,0.901572494736221,3.41960791125894,10.5098041333258,0.050980392843485,0.003921568393707,0.487156327161035,0.109803922474384,0.109803922474384,0.077718361619521,0.061103512403057,0.054901961237192,0.047058824449778,0.039215687662363,0.021822725063988,0.016680369397444,0.062745101749897,564.533582090241,20.955970142486,0,564.046511627907,20.9651162790698,0,569,26,0,0.745675818305052
-1,1,9,A01,9,1,107.664457332229,21.7332228666114,0,9,9,36.705883461982,295.207850389183,0.168627455830574,0.125490188598633,2.85419589389109,0.607843160629272,0.607843160629272,0.23231571811381,0.301540194473118,0.325490206480026,0.019607843831182,0.019607843831182,0.16482015645013,0.155657399690554,0.428431376814842,109.877573785317,19.8625096444144,0,107.17568947906,20.782431052094,112,17,0,0.997363239492914,9,9,9,1,1,-0.67928564682766,1,0.942843481570148,0.598617800867182,0.977791739261041,1,0.963837092441317,0.765064402950851,0.765676379404887,0.709970074008915,24.4352948218584,90.2235315591097,0.200000002980232,0.062745109200478,0.890864235867415,0.592156887054443,0.615686297416687,0.428689382839621,0.300745105197032,0.24705882370472,0.235294118523598,0.16078431904316,0.094874720524247,0.123754373474822,0.407843142747879,110.630286420807,25.5340982971396,0,109.79,25.83,0,111,17,0,0.997363239492914
-1,1,10,A01,10,1,496.7953125,26.5546875,0,10,10,18.0784318633378,78.0196099355817,0.125490203499794,0.027450978755951,0.744943312638349,0.282352954149246,0.30588236451149,0.140142882661533,0.154188952441861,0.16078431904316,0.054901961237192,0.054901961237192,0.049785522461952,0.041970863571575,0.184313729405403,497.147072147431,27.8299572621263,0,497.565217391304,27.2134387351779,495,37,0,0.767332098233403,10,10,10,1,1,-0.425641097840485,0.807723642917451,0.911042944470851,0.427230611450698,1.84734694457971,1,1,0.888393586590068,0.867959804454322,0.888133931326835,6.33333347737789,22.952941685915,0.090196080505848,0.015686273574829,0.880075741635148,0.227450981736183,0.227450981736183,0.143939397213134,0.118314132401624,0.105882354080677,0.082352943718433,0.078431375324726,0.042718593764395,0.037016769245824,0.133333340287209,494.715017937186,24.2936955420431,0,493.850515463918,24.1288659793814,0,499,21,0,0.767332098233403
